PrimaryBus,SecondaryBus,LoadNames,Load_kW,PVNames,PV_kW
L2783231.2,SX2783231B,226193886B0a;226193886B0b,9.69325010597706;3.67498940229414E-02,,
L2710504.2,SX2710504B,323394B0a;323394B0b,13.9317322337627;0.658267766237259,,
L2935547.2,SX2935547B,21383553B0a;21383553B0b,4.97328999519348;0.866710004806518,,
L3048201.2,SX3048201B,391742B0a;391742B0b,0.657267333865166;9.07273266613483,,
L2804250.3,SX2804250C,274992C0a;274992C0b,4.07463196456432;6.09536803543568,,
L3081380.1,SX3081380A,225700953A0a;225700953A0b,4.30047763347626;1.01952236652374,,
L3172805.1,SX3172805A,226964880A0a;226964880A0b,0.83165660738945;8.03834339261055,,
L2822867.2,SX2822867B,21386552B0a;21386552B0b,0.419930171966553;5.42006982803345,PV_1147,5.84
L2991922.1,SX2991922A,302734A0a;302734A0b,3.60159331321716;1.71840668678284,,
L3010560.2,SX3010560B,338955B0a;338955B0b,3.42367422521114;6.30632577478886,,
L2785536.2,SX2785536B,339002B0a;339002B0b,2.87289770126343;2.96710229873657,,
L3160872.3,SX3160872C,260551C0a;260551C0b,10.9791953384876;4.28080466151238,,
L2973178.2,SX2973178B,337665B0a;337665B0b,3.1917575263977;2.64824247360229,,
L2731712.2,SX2731712B,21426205B0a;21426205B0b,7.07053241789341;2.65946758210659,,
L2841628.1,SX2841628A,2120786A0a;2120786A0b,8.15441375494003;0.715586245059967,,
L2748152.2,SX2748152B,321849B0a;321849B0b,1.36692286968231;4.47307713031769,,
L2916602.1,SX2916602A,339049A0a;339049A0b,4.05357376277447;4.81642623722553,,
L2929261.1,SX2929261A,225533337A0a;225533337A0b,1.69231533527374;3.62768466472626,,
L2710521.1,SX2710521A,138680A0a;138680A0b,0.664908358454704;8.20509164154529,PV_1157,8.87
L3142079.2,SX3142079B,21249626B0a;21249626B0b,4.23690043449402;1.60309956550598,,
L2879072.2,SX2879072B,337695B0a;337695B0b,3.16972962379456;2.67027037620544,,
L2729427.2,SX2729427B,323249B0a;323249B0b,5.24681060314178;0.593189396858215,,
L2954347.2,SX2954347B,321841B0a;321841B0b,3.35705384194851;6.37294615805149,,
L2767340.1,SX2767340A,260595A0a;260595A0b,21.8076286315918;4.7923713684082,,
L2767340.2,SX2767340B,260595B0a;260595B0b,21.9974312126636;7.18256878733635,,
L2767340.3,SX2767340C,260595C0a;260595C0b,1.24677970409393;29.2732202959061,,
L3104157.3,SX3104157C,293427C0a;293427C0b,6.1061646938324;4.0638353061676,,
L3122815.2,SX3122815B,321858B0a;321858B0b,2.03643472671509;3.80356527328491,,
L2916605.3,SX2916605C,274987C0a;274987C0b,2.29174707531929;3.80825292468071,,
L3234149.1,SX3234149A,227944551A0a;227944551A0b,44.3019215297699;44.3780784702301,,
L3234149.2,SX3234149B,227944551B0a;227944551B0b,20.6629766285419;76.5970233714581,,
L3234149.3,SX3234149C,227944551C0a;227944551C0b,93.7317375540733;7.96826244592667,,
L3160862.3,SX3160862C,21386143C0a;21386143C0b,0.723527330160141;5.37647266983986,PV_1125,6.1
L3233413.2,SX3233413B,226308727B0a;226308727B0b,15.3548927277327;4.09510727226734,,
L2822865.3,SX2822865C,274986C0a;274986C0b,0.539411064386368;3.53058893561363,,
L2879081.1,SX2879081A,391981A0a;391981A0b,2.05521412849426;3.26478587150574,,
L2691946.2,SX2691946B,2147974B0a;2147974B0b,2.15503946781158;3.68496053218842,PV_1009,5.85
L2806553.3,SX2806553C,227411655C0a;227411655C0b,7.58249907195568;2.58750092804432,,
L3254215.3,SX3254215C,302859C0a;302859C0b,5.84941564798355;0.250584352016449,,
L2951995.3,SX2951995C,226192801C0a;226192801C0b,6.04942016601562;24.4705798339844,,
L3197628.3,SX3197628C,138651C0a;138651C0b,3.72313893377781;6.44686106622219,,
L2673343.2,SX2673343B,21470122B0a;21470122B0b,5.69858067035675;0.14141932964325,,
L3160864.2,SX3160864B,2127146B0a;2127146B0b,2.31178246498108;3.52821753501892,,
L2730149.3,SX2730149C,260601C0a;260601C0b,3.65142891407013;2.44857108592987,PV_1161,6.1
L3160113.2,SX3160113B,323284B0a;323284B0b,1.45209782540798;8.27790217459202,PV_1057,9.73
L3010585.1,SX3010585A,294810A0a;294810A0b,9.04869233369827;4.25130766630173,,
L2766730.2,SX2766730B,355359B0a;355359B0b,4.83861736774445;1.00138263225555,,
L3160871.3,SX3160871C,260638C0a;260638C0b,1.01580425083637;9.15419574916363,,
L3104129.1,SX3104129A,338969A0a;338969A0b,1.23618329167366;12.0638167083263,,
L3254205.3,SX3254205C,302672C0a;302672C0b,4.59419849395752;5.57580150604248,,
L2785511.1,SX2785511A,339046A0a;339046A0b,7.55126152038574;1.31873847961426,,
L2822857.2,SX2822857B,355588B0a;355588B0b,3.15343164920807;2.68656835079193,,
L3067448.3,SX3067448C,262075C0a;262075C0b,2.5817301017046;7.5882698982954,,
L2955081.1,SX2955081A,260508A0a;260508A0b,2.16784402608871;3.15215597391129,,
L3235268.3,SX3235268C,2099529C0a;2099529C0b,4.11442581295967;6.05557418704033,,
L2842330.3,SX2842330C,356795C0a;356795C0b,2.26785594820976;7.90214405179024,,
L2821770.1,SX2821770A,227917119A0a;227917119A0b,2.7209220468998;10.5790779531002,,
L2691959.2,SX2691959B,21400253B0a;21400253B0b,15.1318982243538;23.7681017756462,,
L3011229.1,SX3011229A,356801A0a;356801A0b,1.80462433099747;3.51537566900253,,
L2936216.3,SX2936216C,223663C0a;223663C0b,3.97553170561791;9.44682943820951E-02,,
L2879073.3,SX2879073C,138371C0a;138371C0b,5.15049561262131;0.949504387378693,,
L2935553.2,SX2935553B,323247B0a;323247B0b,4.52465852797031;5.20534147202969,,
L2748130.2,SX2748130B,138753B0a;138753B0b,0.89254738509655;8.83745261490345,,
L3085410.2,SX3085410B,339097B0a;339097B0b,7.28812313079834E-02;5.76711876869202,PV_1015,5.84
L2916618.2,SX2916618B,323283B0a;323283B0b,6.32689113140106;8.26310886859894,,
L3010564.3,SX3010564C,321883C0a;321883C0b,2.52166288495064;3.57833711504936,,
L3217064.2,SX3217064B,21391390B0a;21391390B0b,0.612996026873589;9.11700397312641,PV_1121,9.73
L3048968.3,SX3048968C,350994C0a;350994C0b,4.48581921696663;10.7741807830334,,
L2673319.3,SX2673319C,391973C0a;391973C0b,2.16759947538376;3.93240052461624,PV_1075,6.1
L2897777.3,SX2897777C,338937C0a;338937C0b,4.75253129839897;5.41746870160103,,
L3784018.1,SX3784018A,2224500658A0a;2224500658A0b,0.546303835511208;3.00369616448879,,
L3141400.1,SX3141400A,138313A0a;138313A0b,3.3028557240963;0.247144275903702,,
L3235252.2,SX3235252B,21388572B0a;21388572B0b,9.30538436949253;0.42461563050747,,
L2764411.3,SX2764411C,226010605C0a;226010605C0b,1.27288566827774;4.82711433172226,,
L3030200.3,SX3030200C,260554C0a;260554C0b,2.96024167537689;3.13975832462311,,
L2746587.3,SX2746587C,227653310C0a;227653310C0b,6.45876036465168;3.71123963534832,,
L3010562.2,SX3010562B,325473B0a;325473B0b,2.01500101566315;3.82499898433685,,
L2896685.1,SX2896685A,227187012A0a;227187012A0b,0.620885188579559;4.69911481142044,,
L2896685.2,SX2896685B,227187012B0a;227187012B0b,2.25782137870789;3.58217862129211,,
L2896685.3,SX2896685C,227187012C0a;227187012C0b,3.11064108014107;2.98935891985893,,
L2748143.1,SX2748143A,2121368A0a;2121368A0b,2.15882668614388;6.71117331385612,PV_1153,8.87
L3216351.1,SX3216351A,21398815A0a;21398815A0b,4.13405408501625;4.73594591498375,,
L3156034.1,SX3156034A,391993A0a;391993A0b,1.26034570932388;2.28965429067612,,
L3104128.1,SX3104128A,247057A0a;247057A0b,3.43429150342941;1.88570849657059,,
L2673309.3,SX2673309C,138472C0a;138472C0b,9.44700153708458;0.72299846291542,,
L3104155.3,SX3104155C,21474587C0a;21474587C0b,2.51402654886246;7.65597345113754,PV_1047,10.17
L2729430.2,SX2729430B,21248901B0a;21248901B0b,4.25848900973797;5.47151099026203,,
L3197630.1,SX3197630A,138644A0a;138644A0b,4.48774401962757;4.38225598037243,,
L2860481.3,SX2860481C,338908C0a;338908C0b,0.632281169891358;3.43771883010864,,
L2973152.2,SX2973152B,323253B0a;323253B0b,2.57070052623749;7.15929947376251,,
L3160117.2,SX3160117B,21357901B0a;21357901B0b,5.00687278985977;4.72312721014023,,
L3197624.2,SX3197624B,323235B0a;323235B0b,0.385671839118004;1.564328160882,,
L2708744.2,SX2708744B,226308710B0a;226308710B0b,2.13767141461372;27.0423285853863,,
L3067506.3,SX3067506C,260620C0a;260620C0b,0.108775820732117;3.96122417926788,,
L2841625.3,SX2841625C,302834C0a;302834C0b,1.85866358280182;2.21133641719818,,
L2785512.2,SX2785512B,323245B0a;323245B0b,3.51231369137764;6.21768630862236,,
L2673305.2,SX2673305B,138236B0a;138236B0b,0.696180467009544;3.19381953299046,,
L2860480.2,SX2860480B,323234B0a;323234B0b,2.12235147118568;7.60764852881432,,
L2914324.1,SX2914324A,226196642A0a;226196642A0b,1.1449549716711;0.625045028328896,,
L2766741.1,SX2766741A,21386754A0a;21386754A0b,0.176151586174965;8.69384841382503,,
L3178988.2,SX3178988B,339001B0a;339001B0b,0.94407486975193;2.94592513024807,,
L2729423.3,SX2729423C,339017C0a;339017C0b,1.45414099693298;4.64585900306702,,
L2991929.2,SX2991929B,2147708B0a;2147708B0b,3.57249021470547;6.15750978529453,,
L2767342.1,SX2767342A,356802A0a;356802A0b,3.5534083199501;5.3165916800499,,
L2936212.1,SX2936212A,356815A0a;356815A0b,3.11920422673225;5.75079577326775,,
L2861219.2,SX2861219B,21389761B0a;21389761B0b,0.637573283314705;9.0924267166853,,
L3120376.1,SX3120376A,226163467A0a;226163467A0b,0.55781467795372;8.31218532204628,,
L2991919.1,SX2991919A,302400A0a;302400A0b,2.30466396331787;3.01533603668213,,
L3066804.1,SX3066804A,21380599A0a;21380599A0b,6.89248702526093;6.40751297473907,,
L2935550.3,SX2935550C,274999C0a;274999C0b,4.37250419855118;5.79749580144882,,
L2691942.2,SX2691942B,247105B0a;247105B0b,1.84758275985718;3.99241724014282,,
L2842383.1,SX2842383A,260634A0a;260634A0b,4.9697080206871;0.350291979312897,,
L3160863.3,SX3160863C,223660C0a;223660C0b,0.480949193239212;5.61905080676079,,
L2935549.2,SX2935549B,337668B0a;337668B0b,10.1101563036442;4.47984369635582,,
L3027122.1,SX3027122A,226194865A0a;226194865A0b,7.64341644585133;1.22658355414867,,
L2673331.2,SX2673331B,338990B0a;338990B0b,2.23780863583088;17.2121913641691,PV_1003,19.45
L3254231.1,SX3254231A,338988A0a;338988A0b,3.50019928514957;4.98007148504258E-02,PV_1091,3.55
L2785543.2,SX2785543B,321860B0a;321860B0b,8.82149520277977;0.90850479722023,,
L2970258.3,SX2970258C,21459640C0a;21459640C0b,8.32315817952156;6.93684182047844,,
L2748124.2,SX2748124B,323392B0a;323392B0b,4.76006268918514;4.96993731081486,,
L2879773.1,SX2879773A,207290A0a;207290A0b,5.09814939618111;3.77185060381889,,
L2841626.3,SX2841626C,302808C0a;302808C0b,2.65136186957359;1.41863813042641,,
L2991905.1,SX2991905A,2148633A0a;2148633A0b,5.21968296766281;8.08031703233719,,
L2822861.1,SX2822861A,21015829A0a;21015829A0b,1.07789335012436;7.79210664987564,,
L3216337.1,SX3216337A,356011A0a;356011A0b,5.24938573360443;7.06142663955687E-02,,
L2674047.3,SX2674047C,260514C0a;260514C0b,5.02606914043426;1.07393085956573,,
L2691967.2,SX2691967B,338976B0a;338976B0b,3.21964380264282;2.62035619735718,,
L3626914.3,SX3626914C,2224179616C0a;2224179616C0b,4.57322641611099;1.52677358388901,,
L3177894.1,SX3177894A,227903012A0a;227903012A0b,5.81746239960194;3.05253760039806,,
L2690187.2,SX2690187B,226308716B0a;226308716B0b,20.2071289896965;8.9728710103035,,
L3122827.1,SX3122827A,293673A0a;293673A0b,4.22170242965221;4.64829757034779,,
L3315860.2,SX3315860B,2223664050B0a;2223664050B0b,2.50329802513123;3.33670197486877,,
L2973165.1,SX2973165A,355942A0a;355942A0b,2.33227347791195;6.53772652208805,,
L2691965.2,SX2691965B,338983B0a;338983B0b,1.68678628206253;0.263213717937469,,
L3216346.1,SX3216346A,391991A0a;391991A0b,4.45761934757233;0.862380652427674,,
L3235267.3,SX3235267C,321892C0a;321892C0b,2.78347685694695;7.38652314305305,,
L3066801.3,SX3066801C,138464C0a;138464C0b,2.74935719311237;1.32064280688763,,
L2898515.3,SX2898515C,260621C0a;260621C0b,3.46492718875408;6.70507281124592,,
L2804258.2,SX2804258B,337697B0a;337697B0b,9.59288746595383;0.137112534046173,,
L2954354.1,SX2954354A,302675A0a;302675A0b,7.20438221156597;1.66561778843403,,
L2802481.1,SX2802481A,226308730A0a;226308730A0b,20.7201454639435;5.87985453605652,,
L2710505.2,SX2710505B,323398B0a;323398B0b,5.76398386001587;0.076016139984131,,
L3104114.2,SX3104114B,355587B0a;355587B0b,0.559586397409439;9.17041360259056,,
L2798067.2,SX2798067B,225533237B0a;225533237B0b,2.90348138749599;0.986518612504006,,
L3122825.1,SX3122825A,2118808A0a;2118808A0b,6.73808708786964;6.56191291213036,,
L2710546.2,SX2710546B,337704B0a;337704B0b,8.21503698825836E-03;9.72178496301174,,
L2879071.2,SX2879071B,337701B0a;337701B0b,3.48424743652344;6.24575256347656,,
L2785514.1,SX2785514A,337675A0a;337675A0b,8.42646235704422;0.44353764295578,,
L2898457.1,SX2898457A,260594A0a;260594A0b,0.91989309489727;2.63010690510273,,
L3727708.1,SX3727708A,2224386815A0a;2224386815A0b,4.15304732322693;1.16695267677307,,
L3216988.2,SX3216988B,260590B0a;260590B0b,6.1179302996397;3.6120697003603,,
L3197632.2,SX3197632B,323266B0a;323266B0b,3.53695148944855;2.30304851055145,,
L3178997.3,SX3178997C,293422C0a;293422C0b,2.20949285030365;3.89050714969635,PV_1109,6.1
L2785535.2,SX2785535B,339005B0a;339005B0b,9.50481432676315E-02;14.4949518567324,,
L3216343.3,SX3216343C,337626C0a;337626C0b,0.350595885515213;9.81940411448479,,
L2748127.1,SX2748127A,338919A0a;338919A0b,3.83783353328705;1.48216646671295,,
L2673323.3,SX2673323C,355438C0a;355438C0b,0.312525404691696;9.8574745953083,,
L3104859.2,SX3104859B,138798B0a;138798B0b,4.75561747550964;1.08438252449036,,
L2859403.1,SX2859403A,228001810A0a;228001810A0b,3.49859552383423;5.37140447616577,,
L2954345.3,SX2954345C,338915C0a;338915C0b,3.31368771195412;2.78631228804588,,
L3160098.1,SX3160098A,339048A0a;339048A0b,3.84477287769318;1.47522712230682,,
L3254228.2,SX3254228B,325474B0a;325474B0b,5.45742218732834;4.27257781267166,,
L3101788.1,SX3101788A,321878A0a;321878A0b,2.07361773192883;6.79638226807117,,
L2785513.1,SX2785513A,337677A0a;337677A0b,0.839246526956558;8.03075347304344,PV_1105,8.87
L3231269.2,SX3231269B,225684682B0a;225684682B0b,5.76520740032196;7.47925996780392E-02,,
L2991921.3,SX2991921C,2129399C0a;2129399C0b,5.31851297199726;4.85148702800274,,
L3122826.1,SX3122826A,302731A0a;302731A0b,6.7883910703659;2.08160892963409,,
L2842390.3,SX2842390C,21325725C0a;21325725C0b,0.935377162694931;5.16462283730507,,
L2991913.1,SX2991913A,138571A0a;138571A0b,1.55185956716537;3.76814043283463,,
L3104144.1,SX3104144A,339020A0a;339020A0b,0.489139351248741;3.06086064875126,PV_1159,3.55
L2804270.2,SX2804270B,339013B0a;339013B0b,5.61132292747498;0.228677072525024,,
L2917333.1,SX2917333A,260632A0a;260632A0b,5.97946932792664;2.89053067207336,,
L2673315.1,SX2673315A,247058A0a;247058A0b,1.52472663521767;2.02527336478233,,
L2688693.3,SX2688693C,225918936C0a;225918936C0b,0.431981116533279;5.66801888346672,,
L2841645.3,SX2841645C,321893C0a;321893C0b,8.35812116682529;1.81187883317471,,
L3048200.2,SX3048200B,391740B0a;391740B0b,2.37376977026463;1.51623022973537,,
L3048208.1,SX3048208A,138260A0a;138260A0b,1.45716053724289;3.86283946275711,,
L3067507.3,SX3067507C,260535C0a;260535C0b,2.48775819063187;12.7722418093681,,
L2804249.3,SX2804249C,21389962C0a;21389962C0b,3.97181386351585;2.12818613648415,,
L2936213.2,SX2936213B,328363B0a;328363B0b,4.14886619389057;10.4411338061094,,
L3215340.1,SX3215340A,228057846A0a;228057846A0b,6.17427532494068;2.69572467505932,,
L3118855.3,SX3118855C,339052C0a;339052C0b,3.27920598626137;11.9807940137386,,
L3085397.2,SX3085397B,323261B0a;323261B0b,0.2397091537714;9.4902908462286,,
L3104796.3,SX3104796C,260569C0a;260569C0b,7.31469514667988;2.85530485332012,,
L3108449.1,SX3108449A,228622562A0a;228622562A0b,5.21361151695251;0.106388483047485,,
L2673307.3,SX2673307C,337632C0a;337632C0b,0.151561069488525;5.94843893051147,,
L2973159.1,SX2973159A,21398536A0a;21398536A0b,4.93376669406891;0.386233305931091,,
L3101787.1,SX3101787A,321877A0a;321877A0b,4.68971275210381;4.18028724789619,,
L2785521.3,SX2785521C,338931C0a;338931C0b,11.4561039924622;3.80389600753784,,
L3235273.2,SX3235273B,339016B0a;339016B0b,7.99728138267994;1.73271861732006,,
L2692600.3,SX2692600C,356798C0a;356798C0b,7.38611154735088;2.78388845264912,,
L3179637.3,SX3179637C,21386442C0a;21386442C0b,10.6882667338848;4.57173326611519,,
L2729406.3,SX2729406C,337633C0a;337633C0b,1.66292614340782;4.43707385659218,,
L3029499.1,SX3029499A,302678A0a;302678A0b,0.456350570917129;3.09364942908287,,
L3179650.2,SX3179650B,251828B0a;251828B0b,1.78434782981873;4.05565217018127,PV_1083,5.84
L2748780.1,SX2748780A,356803A0a;356803A0b,2.64677297174931;6.22322702825069,,
L3141398.1,SX3141398A,21386976A0a;21386976A0b,0.621727714538574;4.69827228546143,,
L3085403.1,SX3085403A,293668A0a;293668A0b,0.717294452786446;8.15270554721355,,
L3236011.2,SX3236011B,138796B0a;138796B0b,3.17862752914429;2.66137247085571,,
L2710542.2,SX2710542B,355584B0a;355584B0b,8.10471655189991;1.62528344810009,,
L2801896.2,SX2801896B,226191995B0a;226191995B0b,1.75247277736664;4.08752722263336,,
L3029501.2,SX3029501B,337688B0a;337688B0b,3.85250723361969;1.98749276638031,,
L3159645.1,SX3159645A,228446184A0a;228446184A0b,2.94351418972015;5.92648581027985,,
L3125349.3,SX3125349C,226193698C0a;226193698C0b,4.1147313272953;6.0552686727047,,
L2973149.2,SX2973149B,325472B0a;325472B0b,4.82539582252502;1.01460417747498,,
L3030205.3,SX3030205C,21390038C0a;21390038C0b,6.50459539532661;3.66540460467339,,
L2841615.1,SX2841615A,356012A0a;356012A0b,2.07361239671707;3.24638760328293,,
L2767407.2,SX2767407B,260495B0a;260495B0b,0.385108519792557;3.50489148020744,,
L3139103.1,SX3139103A,225767272A0a;225767272A0b,1.2869497436285;7.5830502563715,,
L3011293.1,SX3011293A,2129466A0a;2129466A0b,10.4856060552597;7.2543939447403,,
L3011293.2,SX3011293B,2129466B0a;2129466B0b,3.72173398733139E-02;19.4127826601267,,
L3011293.3,SX3011293C,2129466C0a;2129466C0b,17.5202069449425;2.81979305505753,PV_1139,20.34
L3181545.3,SX3181545C,226193702C0a;226193702C0b,0.751716333627701;5.3482836663723,,
L2935555.1,SX2935555A,338917A0a;338917A0b,4.08350674629211;1.23649325370789,,
L3048207.2,SX3048207B,323248B0a;323248B0b,3.08680109024048;2.75319890975952,,
L3160104.2,SX3160104B,337707B0a;337707B0b,2.05737583518028;7.67262416481972,,
L2851933.1,SX2851933A,21393643A0a;21393643A0b,5.84962756514549;3.02037243485451,,
L2851933.2,SX2851933B,21393643B0a;21393643B0b,1.57893242895603;8.15106757104397,,
L2851933.3,SX2851933C,21393643C0a;21393643C0b,10.0484328222275;5.21156717777252,,
L2897784.2,SX2897784B,247170B0a;247170B0b,2.31484323382378;12.2751567661762,,
L3207907.1,SX3207907A,293664A0a;293664A0b,11.9984140622616;5.74158593773842,,
L3207907.2,SX3207907B,293664B0a;293664B0b,4.90280997753143;24.2771900224686,,
L3207907.3,SX3207907C,293664C0a;293664C0b,3.2491291987896;17.0908708012104,,
L2726974.2,SX2726974B,226193395B0a;226193395B0b,0.120392483472824;9.60960751652718,,
L3029502.1,SX3029502A,138262A0a;138262A0b,11.3558540940285;6.38414590597153,,
L3178972.3,SX3178972C,338923C0a;338923C0b,16.3194337677956;4.02056623220444,,
L3029055.2,SX3029055B,260607B0a;260607B0b,1.62748541533947;12.9625145846605,,
L3029507.2,SX3029507B,302368B0a;302368B0b,3.29510556161404;6.43489443838596,,
L3254230.1,SX3254230A,338989A0a;338989A0b,1.22165141701698;0.548348582983017,,
L3030203.3,SX3030203C,260639C0a;260639C0b,5.43215399980545;4.73784600019455,,
L3048203.2,SX3048203B,323273B0a;323273B0b,5.41090008199215;4.31909991800785,,
L3048963.2,SX3048963B,260521B0a;260521B0b,4.66443326473236;1.17556673526764,,
L2674027.2,SX2674027B,21380325B0a;21380325B0b,0.521804766654968;9.20819523334503,,
L2973163.2,SX2973163B,391753B0a;391753B0b,1.80795838832855;2.08204161167145,,
L2955074.1,SX2955074A,260479A0a;260479A0b,10.2035141587257;3.09648584127426,,
L3216342.2,SX3216342B,337645B0a;337645B0b,3.17797183513641;6.55202816486359,,
L3235243.3,SX3235243C,275008C0a;275008C0b,8.95101416766643;1.21898583233357,PV_1145,10.17
L3214069.3,SX3214069C,226194421C0a;226194421C0b,7.6876917797327;2.4823082202673,,
L2841632.2,SX2841632B,338972B0a;338972B0b,8.91703727185726;0.812962728142738,,
L2822859.2,SX2822859B,391747B0a;391747B0b,1.88263593792915;7.84736406207085,,
L3142050.3,SX3142050C,251865C0a;251865C0b,5.40203474760056;0.697965252399444,,
L2973155.1,SX2973155A,338898A0a;338898A0b,2.38496775388718;2.93503224611282,,
L2973791.1,SX2973791A,260605A0a;260605A0b,4.1816650223732;13.5583349776268,,
L2841629.3,SX2841629C,138405C0a;138405C0b,8.68428897500038;6.57571102499962,,
L2822868.1,SX2822868A,21397544A0a;21397544A0b,0.756671073436737;4.56332892656326,,
L3122823.2,SX3122823B,302370B0a;302370B0b,1.07503661692142;8.65496338307858,,
L2952003.2,SX2952003B,337614B0a;337614B0b,1.18597470343113;8.54402529656887,,
L3104856.1,SX3104856A,260467A0a;260467A0b,2.68280781507492;2.63719218492508,,
L2786204.3,SX2786204C,223662C0a;223662C0b,5.16334467053413;10.0966553294659,,
L2841622.1,SX2841622A,21384215A0a;21384215A0b,1.20196332454681;4.11803667545319,,
L2973150.1,SX2973150A,21380528A0a;21380528A0b,1.55447815179825;3.76552184820175,,
L3066826.2,SX3066826B,339003B0a;339003B0b,9.03337216198444;5.55662783801556,,
L3197638.1,SX3197638A,21396959A0a;21396959A0b,7.61718374669552;1.25281625330448,,
L2785530.1,SX2785530A,391985A0a;391985A0b,1.20630798637867;2.34369201362133,,
L3082988.2,SX3082988B,226195153B0a;226195153B0b,4.45116444587708;1.38883555412292,,
L2860491.1,SX2860491A,302733A0a;302733A0b,0.472933810949326;3.07706618905067,,
L2860491.2,SX2860491B,302733B0a;302733B0b,2.89735998570919;11.6926400142908,,
M1108403.1,SX1108403A,2221108403A0a;2221108403A0b,14.9838572983329;15.2374147593845,,
M1108403.2,SX1108403B,2221108403B0a;2221108403B0b,12.3278347452893;13.9348519674732,,
M1108403.3,SX1108403C,2221108403C0a;2221108403C0b,11.3497598372442;10.1748567325673,,
M1108404.1,SX1108404A,2221108404A0a;2221108404A0b,14.9748912749128;12.8708975340535,,
M1108404.2,SX1108404B,2221108404B0a;2221108404B0b,18.2746296483264;20.4642817469989,,
M1108404.3,SX1108404C,,,,
M1108405.1,SX1108405A,2221108405A0a;2221108405A0b,10.8329874927289;11.9375987492748,,
M1108405.2,SX1108405B,2221108405B0a;2221108405B0b,13.3874479274956;15.9734687346721,,
M1108405.3,SX1108405C,,,,
M1108406.1,SX1108406A,2221108406A0a;2221108406A0b,12.9847298743482;10.5465287346983,,
M1108406.2,SX1108406B,2221108406B0a;2221108406B0b,14.4779274975337;11.7983479234234,,
M1108407.2,SX1108407B,2221108407B0a;2221108407B0b,20.8472843792233;18.2374623439547,,
M1108410.2,SX1108410B,2226061820B0a;2226061820B0b,29.3287642634872;26.0984342482424,,
M2000402.1,SX2000402A,2000402A0a;2000402A0b,6.546303835511208;4.700369616448879,,
M2000403.1,SX2000403A,2000403A0a;2000403A0b,5.138708794193482;7.423893890875923,,
M2000404.1,SX2000404A,2000404A0a;2000404A0b,6.280734597341853;3.428793094879453,,
M2000405.1,SX2000405A,2000405A0a;2000405A0b,6.546303835511208;8.380503098592806,,
M2000406.1,SX2000406A,2000406A0a;2000406A0b,9.347802478934985;3.249870373984534,,
M2000407.1,SX2000407A,2000407A0a;2000407A0b,4.429870309857273;7.487938984234373,,
M2000408.1,SX2000408A,2000408A0a;2000408A0b,6.546303835511208;5.894234287549382,,
M2000409.1,SX2000409A,2000409A0a;2000409A0b,4.493840987398212;8.487338975392829,,
M2000410.1,SX2000410A,2000410A0a;2000410A0b,9.174853198583879;5.316873438657922,,
M2000411.1,SX2000411A,2000411A0a;2000411A0b,6.493573298723476;3.487953819759328,,
M2000412.1,SX2000412A,2000412A0a;2000412A0b,10.43759328752389;9.179588473982392,,
M2000413.1,SX2000413A,2000413A0a;2000413A0b,6.348793728498429;4.283740934820938,,
M2000414.1,SX2000414A,2000414A0a;2000414A0b,3.348990303894293;7.238947289347328,,
M2000415.1,SX2000415A,2000415A0a;2000415A0b,5.834834092304980;4.938749283479238,,
M2000702.2,SX2000702B,2000702B0a;2000702B0b,5.823409840349803;4.700369616448879,,
M2000703.2,SX2000703B,2000703B0a;2000703B0b,5.138708794193482;4.398752389429358,,
M2000704.2,SX2000704B,2000704B0a;2000704B0b,6.834929384729734;3.389374738563587,,
M2000705.2,SX2000705B,2000705B0a;2000705B0b,5.293848983479238;4.378627362837294,,
M2000706.2,SX2000706B,2000706B0a;2000706B0b,5.398749238729834;6.387492384793842,,
M2000707.2,SX2000707B,2000707B0a;2000707B0b,6.546303835511208;3.348753857398232,,
M2000708.2,SX2000708B,2000708B0a;2000708B0b,7.834738274328929;4.385970349043587,,
M2000709.2,SX2000709B,2000709B0a;2000709B0b,4.013985705703537;4.700369616448879,,
M2000710.2,SX2000710B,2000710B0a;2000710B0b,5.878949634021482;4.573057284750734,,
M2000711.2,SX2000711B,2000711B0a;2000711B0b,2.942587389572932;4.098457923749823,,
M2000712.2,SX2000712B,2000712B0a;2000712B0b,6.809475938759285;4.389792834728029,,
M2000713.2,SX2000713B,2000713B0a;2000713B0b,5.931485793329823;6.847594798472942,,
M2000714.2,SX2000714B,2000714B0a;2000714B0b,4.348019830923220;4.700369616448879,,
M2000715.2,SX2000715B,2000715B0a;2000715B0b,6.546303835511208;4.700369616448879,,
M2000902.3,SX2000902C,2000902C0a;2000902C0b,6.546303835511208;4.700369616448879,,
M2000903.3,SX2000903C,2000903C0a;2000903C0b,5.138708794193482;7.423893890875923,,
M2000904.3,SX2000904C,2000904C0a;2000904C0b,6.280734597341853;3.428793094879453,,
M2000905.3,SX2000905C,2000905C0a;2000905C0b,6.546303835511208;4.700369616448879,,
M2000906.3,SX2000906C,2000906C0a;2000906C0b,6.546303835511208;4.700369616448879,,
M2000907.3,SX2000907C,2000907C0a;2000907C0b,6.546303835511208;4.700369616448879,,
M2000908.3,SX2000908C,2000908C0a;2000908C0b,6.546303835511208;4.700369616448879,,
M2000909.3,SX2000909C,2000909C0a;2000909C0b,6.546303835511208;4.700369616448879,,
M2000910.3,SX2000910C,2000910C0a;2000910C0b,6.546303835511208;4.700369616448879,,
